start,end,changed_bytes,stock_hex,mod2_hex,delta_summary,table_or_region,overlaps_executable_bytes,assessment
0x800C,0x800F,4,4A 65 B5 9A,47 BE B8 41,min -89; max +89; mean +0.00,checksum_words,false,calibration/checksum only
0x8088,0x808D,6,C2 C2 C2 C2 C2 C2,C6 C6 C6 C6 C6 C6,min +4; max +4; mean +4.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x8091,0x8096,6,C4 C4 C4 C4 C4 C4,C8 C8 C8 C8 C8 C8,min +4; max +4; mean +4.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x80A9,0x80D5,45,D0 CB C4 C2 C2 CF C2 C2 C2 CA C6 C0 BD BC C0 BC BC BC C9 C4 BD BA B9 B9 B9 B9 B9 DB D6 CF CB C8 C8 C8 C8 C8 DC D7 CF CA C8 C8 C8 C8 C8,D6 D1 CA C8 C8 D5 C8 C8 C8 D0 CC C6 C3 C2 C6 C2 C2 C2 CF CA C3 C0 BF BF BF BF BF E1 DC D5 D1 CE CE CE CE CE E2 DD D5 D0 CE CE CE CE CE,min +6; max +6; mean +6.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x80F1,0x8102,18,C7 BE B3 B3 AD A3 A3 A3 A3 B6 AD A2 A9 A0 92 92 92 92,CC C3 B8 B8 B2 A8 A8 A8 A8 BB B2 A7 AE A5 97 97 97 97,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x8169,0x816E,6,CE C3 BE BE BE BE,D3 C8 C3 C3 C3 C3,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x8172,0x8177,6,D7 C7 BF BF BF BF,DC CC C4 C4 C4 C4,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x817B,0x8180,6,E0 CF C7 C7 C7 C7,E5 D4 CC CC CC CC,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x8184,0x8189,6,E9 D9 CD CD CD CD,EE DE D2 D2 D2 D2,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x818D,0x8192,6,F1 E2 DC DC DC DC,F6 E7 E1 E1 E1 E1,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x8196,0x819B,6,F9 ED E0 E0 E0 E0,FE F2 E5 E5 E5 E5,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x819F,0x81A4,6,FF EE DC DC DC DC,04 F3 E1 E1 E1 E1,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81A8,0x81AD,6,09 FD F5 F5 F5 F5,0E 02 FA FA FA FA,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81B1,0x81B6,6,0B FB FA FA FA FA,10 00 FF FF FF FF,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81BA,0x81BF,6,FE EF EE EE EE EE,03 F4 F3 F3 F3 F3,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81C3,0x81C8,6,F0 DE DC DC DC DC,02 F0 EE EE EE EE,min -238; max +18; mean -24.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81CC,0x81D1,6,0E 00 FE FE FE FE,13 05 03 03 03 03,min -251; max +5; mean -165.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x879E,0x87A1,4,07 EB 07 EF,00 FA FF FF,min -7; max +248; mean +68.00,rpm_limiter_set_clear,false,calibration/checksum only
0x89F5,0x89FA,6,4B 50 55 5A 5F 78,4D 52 5B 64 6F 7E,min +2; max +16; mean +7.00,per_event_retard_gain,false,calibration/checksum only
0x89FC,0x8A05,10,90 96 96 90 A5 AA A0 9B 96 82,96 9A 9E A2 A7 AC AA A3 98 8C,min +2; max +18; mean +7.00,per_event_retard_gain,false,calibration/checksum only
0x8A80,0x8A83,4,2C 2C 2E 19,32 30 32 1D,min +4; max +6; mean +4.50,spark_high_default,false,calibration/checksum only
0x8A87,0x8A8C,6,28 23 2C 2E 30 1C,2C 29 32 32 34 20,min +4; max +6; mean +4.67,spark_high_default,false,calibration/checksum only
0x8A90,0x8A95,6,25 1C 2E 34 31 1E,2B 2C 36 38 35 22,min +4; max +16; mean +7.00,spark_high_default,false,calibration/checksum only
0x8A99,0x8A9E,6,25 1A 39 38 32 24,2C 2E 3D 3C 36 28,min +4; max +20; mean +7.17,spark_high_default,false,calibration/checksum only
0x8AA2,0x8AA7,6,27 20 3E 3A 34 28,2F 32 42 3E 38 2C,min +4; max +18; mean +7.00,spark_high_default,false,calibration/checksum only
0x8AAB,0x8AB0,6,30 2C 41 3C 35 2B,34 38 45 40 39 2F,min +4; max +12; mean +5.33,spark_high_default,false,calibration/checksum only
0x8AB5,0x8AB9,5,39 43 3E 37 2D,3D 47 42 3B 31,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8ABE,0x8AC2,5,40 45 40 38 2F,42 49 44 3C 33,min +2; max +4; mean +3.60,spark_high_default,false,calibration/checksum only
0x8AC7,0x8ACB,5,48 49 43 3A 33,4A 4D 47 3E 37,min +2; max +4; mean +3.60,spark_high_default,false,calibration/checksum only
0x8AD1,0x8AD4,4,4B 46 3E 37,4F 4A 42 3B,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8ADA,0x8ADD,4,4E 48 41 3A,52 4C 45 3E,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8AE3,0x8AE6,4,51 4B 43 3D,55 4F 47 41,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8AEC,0x8AEF,4,54 4D 46 3E,58 51 4A 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8AF5,0x8AF8,4,55 4D 48 3E,59 51 4C 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8AFE,0x8B01,4,55 4C 48 3E,59 50 4C 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B07,0x8B0A,4,54 4A 47 3E,58 4E 4B 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B10,0x8B13,4,53 4B 44 3E,57 4F 48 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B19,0x8B1C,4,53 4A 42 3E,57 4E 46 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B22,0x8B25,4,53 4C 41 3E,57 50 45 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B2B,0x8B2E,4,53 4B 3F 3E,57 4F 43 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B34,0x8B37,4,53 4B 3F 3E,57 4F 43 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B3D,0x8B40,4,53 4B 3F 3E,57 4F 43 42,min +4; max +4; mean +4.00,spark_high_default,false,calibration/checksum only
0x8B50,0x8B51,2,18 14,1A 16,min +2; max +2; mean +2.00,spark_low_alternate,false,calibration/checksum only
0x8B55,0x8B58,4,24 24 24 20,28 2E 2C 24,min +4; max +10; mean +6.50,spark_low_alternate,false,calibration/checksum only
0x8B5A,0x8B5A,1,18,1A,min +2; max +2; mean +2.00,spark_low_alternate,false,calibration/checksum only
0x8B5E,0x8B5E,1,24,28,min +4; max +4; mean +4.00,spark_low_alternate,false,calibration/checksum only
0x8B62,0x8B64,3,20 1A 14,26 1E 16,min +2; max +6; mean +4.00,spark_low_alternate,false,calibration/checksum only
0x8B67,0x8B6D,7,24 24 30 30 28 1E 14,2C 36 36 34 2C 26 20,min +4; max +18; mean +8.57,spark_low_alternate,false,calibration/checksum only
0x8B6F,0x8B6F,1,24,26,min +2; max +2; mean +2.00,spark_low_alternate,false,calibration/checksum only
0x8B72,0x8B76,5,3B 30 2E 2A 20,3F 38 32 2E 24,min +4; max +8; mean +4.80,spark_low_alternate,false,calibration/checksum only
0x8B78,0x8B78,1,28,2C,min +4; max +4; mean +4.00,spark_low_alternate,false,calibration/checksum only
0x8B7B,0x8B7F,5,40 3A 30 2E 20,44 3E 38 34 28,min +4; max +8; mean +6.00,spark_low_alternate,false,calibration/checksum only
0x8B81,0x8B81,1,2C,32,min +6; max +6; mean +6.00,spark_low_alternate,false,calibration/checksum only
0x8B84,0x8B88,5,40 3A 34 2F 2C,4A 42 3C 37 30,min +4; max +10; mean +7.60,spark_low_alternate,false,calibration/checksum only
0x8B8A,0x8B8A,1,2E,36,min +8; max +8; mean +8.00,spark_low_alternate,false,calibration/checksum only
0x8B8D,0x8B91,5,3C 3A 34 2E 2E,4E 46 40 3C 32,min +4; max +18; mean +12.00,spark_low_alternate,false,calibration/checksum only
0x8B94,0x8B94,1,40,44,min +4; max +4; mean +4.00,spark_low_alternate,false,calibration/checksum only
0x8B96,0x8B9A,5,4A 46 36 32 32,50 4A 42 3C 36,min +4; max +12; mean +7.20,spark_low_alternate,false,calibration/checksum only
0x8B9C,0x8BA3,8,40 40 50 46 3E 3C 3C 32,42 48 52 50 4A 44 40 36,min +2; max +12; mean +6.25,spark_low_alternate,false,calibration/checksum only
0x8BA5,0x8BAC,8,40 40 51 48 3C 3A 38 32,44 48 53 54 4C 46 42 36,min +2; max +16; mean +8.50,spark_low_alternate,false,calibration/checksum only
0x8BAE,0x8BB5,8,3C 3C 4A 48 44 40 3A 31,4A 4A 58 56 50 48 42 35,min +4; max +14; mean +11.00,spark_low_alternate,false,calibration/checksum only
0x8BB7,0x8BB8,2,4C 4C,4E 4E,min +2; max +2; mean +2.00,spark_low_alternate,false,calibration/checksum only
0x8BBA,0x8BBE,5,4C 48 40 3E 30,58 52 4A 44 34,min +4; max +12; mean +8.40,spark_low_alternate,false,calibration/checksum only
0x8BC0,0x8BC7,8,4A 4A 58 54 4A 48 3C 32,54 52 5E 5A 54 4C 44 36,min +4; max +10; mean +7.00,spark_low_alternate,false,calibration/checksum only
0x8BCC,0x8BD0,5,50 50 44 42 34,5E 56 4C 48 38,min +4; max +14; mean +7.60,spark_low_alternate,false,calibration/checksum only
0x8BD5,0x8BD9,5,56 4C 48 42 36,5E 56 4E 48 3A,min +4; max +10; mean +6.80,spark_low_alternate,false,calibration/checksum only
0x8BDB,0x8BDC,2,4E 4E,52 53,min +4; max +5; mean +4.50,spark_low_alternate,false,calibration/checksum only
0x8BDE,0x8BE2,5,54 4C 46 42 3A,5C 56 4C 4A 3E,min +4; max +10; mean +7.20,spark_low_alternate,false,calibration/checksum only
0x8BE4,0x8BEB,8,46 46 56 50 46 42 3C 3A,50 50 5A 5C 56 4C 4C 3E,min +4; max +16; mean +10.25,spark_low_alternate,false,calibration/checksum only
0x8BED,0x8BF4,8,48 48 58 50 4A 42 3C 3A,50 50 5A 5C 52 4E 4C 3E,min +2; max +16; mean +8.75,spark_low_alternate,false,calibration/checksum only
0x8BF6,0x8BFD,8,46 46 56 4A 4A 44 42 37,4E 50 5A 5A 52 50 4A 3B,min +4; max +16; mean +8.75,spark_low_alternate,false,calibration/checksum only
0x8BFF,0x8C00,2,4C 4C,4E 50,min +2; max +4; mean +3.00,spark_low_alternate,false,calibration/checksum only
0x8C02,0x8C06,5,4C 44 45 3E 36,58 52 4F 48 3A,min +4; max +14; mean +10.00,spark_low_alternate,false,calibration/checksum only
0x8C0B,0x8C0F,5,54 4E 49 3C 38,5A 54 4D 48 3C,min +4; max +12; mean +6.40,spark_low_alternate,false,calibration/checksum only
0x8C14,0x8C18,5,54 48 48 44 38,58 52 4C 48 3C,min +4; max +10; mean +5.20,spark_low_alternate,false,calibration/checksum only
0x91EC,0x91EC,1,CD,6F,min -94; max -94; mean -94.00,load_air_charge_factor,false,calibration/checksum only
0x91FE,0x9201,4,57 85 BC E3,5B 89 C0 E7,min +4; max +4; mean +4.00,load_air_charge_factor,false,calibration/checksum only
0x9207,0x920A,4,54 7D B2 DC,58 81 B6 E0,min +4; max +4; mean +4.00,load_air_charge_factor,false,calibration/checksum only
0x9210,0x9213,4,58 7B AD D8,5C 7F B1 DC,min +4; max +4; mean +4.00,load_air_charge_factor,false,calibration/checksum only
0x9219,0x921C,4,52 72 A0 D1,56 76 A4 D5,min +4; max +4; mean +4.00,load_air_charge_factor,false,calibration/checksum only
0x9222,0x9225,4,4D 6B 92 C8,51 6F 96 CC,min +4; max +4; mean +4.00,load_air_charge_factor,false,calibration/checksum only
0x922B,0x9231,7,45 61 86 BC EE FA FB,49 68 8D C3 F1 FD FE,min +3; max +7; mean +4.86,load_air_charge_factor,false,calibration/checksum only
0x9234,0x923A,7,43 54 75 AC E8 F7 FA,47 5B 7C B3 EB FA FD,min +3; max +7; mean +4.86,load_air_charge_factor,false,calibration/checksum only
0x923D,0x9243,7,34 4C 6B A3 E4 F4 F9,38 53 72 AA E7 F7 FC,min +3; max +7; mean +4.86,load_air_charge_factor,false,calibration/checksum only
0x9246,0x924C,7,34 45 67 9A E0 F3 F8,38 4C 6E A1 E3 F6 FB,min +3; max +7; mean +4.86,load_air_charge_factor,false,calibration/checksum only
0x924F,0x9255,7,35 43 61 92 BC F2 F7,39 4A 68 99 DC F5 FA,min +3; max +32; mean +9.00,load_air_charge_factor,false,calibration/checksum only
0x9259,0x925E,6,43 60 89 D8 EF F6,46 63 8C DB F2 F9,min +3; max +3; mean +3.00,load_air_charge_factor,false,calibration/checksum only
