call_site,callee,callee_label,callee_decoded,callee_confidence
0x7D29,0x7DCF,sub_7DCF,true,unannotated
0x7D2F,0x7D74,sub_7D74,true,unannotated
0x7D43,0x7E9B,sub_7E9B,true,unannotated
0x7D49,0x7DCF,sub_7DCF,true,unannotated
0x7D4F,0x7D74,sub_7D74,true,unannotated
0x7D63,0x7E9B,sub_7E9B,true,unannotated
0x7D69,0x7DCF,sub_7DCF,true,unannotated
0x7D6F,0x7D74,sub_7D74,true,unannotated
0x7E7D,0x7F1C,sub_7F1C,true,unannotated
0x7EA0,0x7F1C,sub_7F1C,true,unannotated
0x7F46,0xBC1A,sub_BC1A,true,unannotated
0x7FB9,0xBC1A,sub_BC1A,true,unannotated
0x7FEE,0x7C57,sub_7C57,true,unannotated
0x7FF1,0x7C6E,sub_7C6E,true,unannotated
0x7FF6,0x7C8A,sub_7C8A,true,unannotated
0x7FF9,0x7CA1,sub_7CA1,true,unannotated
0x93C5,0x96DA,sub_96DA,true,unannotated
0x93D0,0x94AC,sub_94AC,true,unannotated
0x93FF,0x94E2,sub_94E2,true,unannotated
0x9425,0x9523,sub_9523,true,unannotated
0x943C,0x96DA,sub_96DA,true,unannotated
0x9447,0x94AC,sub_94AC,true,unannotated
0x9476,0x94E2,sub_94E2,true,unannotated
0x949C,0x9523,sub_9523,true,unannotated
0x952C,0xB2AB,interp_1d_u8,true,confirmed
0x95B1,0x9523,sub_9523,true,unannotated
0x961C,0xBD6E,sub_BD6E,true,unannotated
0x965A,0xC9C8,sub_C9C8,true,unannotated
0x965D,0xC97C,sub_C97C,true,unannotated
0x9660,0x40E5,sub_40E5,true,unannotated
0x9663,0x9E87,sub_9E87,true,unannotated
0x9666,0x5E82,adc_conversion_helper_5e82,true,strong
0x9669,0x41D6,build_transient_axis_2042,true,confirmed
0x966C,0x9789,sub_9789,true,unannotated
0x966F,0x416B,sub_416B,true,unannotated
0x9672,0x9BFE,sub_9BFE,true,unannotated
0x9675,0x97C5,sub_97C5,true,unannotated
0x9678,0x7101,sub_7101,true,unannotated
0x967B,0x4405,sub_4405,true,unannotated
0x967E,0xCBA9,sub_CBA9,true,unannotated
0x9681,0xBDF6,sub_BDF6,true,unannotated
0x9684,0xA002,sub_A002,true,unannotated
0x968B,0xBDEC,sub_BDEC,true,unannotated
0x96B3,0x654C,sub_654C,true,unannotated
0x96B6,0x562A,sub_562A,true,unannotated
0x96B9,0x4772,sub_4772,true,unannotated
0x96BC,0xBD6E,sub_BD6E,true,unannotated
0x96C3,0x4D21,sub_4D21,true,unannotated
0x96C6,0x58B7,sub_58B7,true,unannotated
0x96C9,0x9EC5,sub_9EC5,true,unannotated
0x97E1,0xB2AB,interp_1d_u8,true,confirmed
0x9805,0xB3F6,sub_B3F6,true,unannotated
0x994C,0xE972,sub_E972,true,unannotated
0x99E6,0xE993,sub_E993,true,unannotated
0x9B1D,0x9B79,sub_9B79,true,unannotated
0x9B68,0xB2AB,interp_1d_u8,true,confirmed
0x9B6E,0x9BB5,sub_9BB5,true,unannotated
0x9BAE,0xB2D6,interp_2d_u8,true,confirmed
0x9C02,0x9BB5,sub_9BB5,true,unannotated
0x9D1A,0xB2AB,interp_1d_u8,true,confirmed
0x9D51,0x9D56,sub_9D56,true,unannotated
0x9D53,0x9D88,sub_9D88,true,unannotated
0x9EC5,0xA759,sub_A759,true,unannotated
0xA529,0xA619,sub_A619,true,unannotated
0xA535,0xA619,sub_A619,true,unannotated
0xA541,0xA619,sub_A619,true,unannotated
0xA549,0xA5F7,sub_A5F7,true,unannotated
0xA574,0xA619,sub_A619,true,unannotated
0xA57C,0xA5F7,sub_A5F7,true,unannotated
0xA59B,0xA5F7,sub_A5F7,true,unannotated
0xA5BA,0xA5F7,sub_A5F7,true,unannotated
0xB40F,0xB41C,sub_B41C,true,unannotated
0xB417,0xB41C,sub_B41C,true,unannotated
0xB447,0x4292,sub_4292,true,unannotated
0xB44A,0xB57F,sub_B57F,true,unannotated
0xB44D,0xD0C8,sub_D0C8,true,unannotated
0xB454,0x6EEE,fuel_output_scheduler,true,confirmed
0xB457,0xE9A8,afterstart_state_handler,true,confirmed
0xB45A,0xE38B,fuel_signed_trim_lookup,true,confirmed
0xB45D,0x6E96,high_load_final_fuel_stage,true,strong
0xB462,0xE9A8,afterstart_state_handler,true,confirmed
0xB465,0xE38B,fuel_signed_trim_lookup,true,confirmed
0xB468,0x6E96,high_load_final_fuel_stage,true,strong
0xB46B,0x6EEE,fuel_output_scheduler,true,confirmed
0xB46E,0x9A16,sub_9A16,true,unannotated
0xB471,0xAFC0,sub_AFC0,true,unannotated
0xB4A1,0x956B,period_history_init,true,confirmed
0xB4D7,0xCB5B,sub_CB5B,true,unannotated
0xB863,0x5A79,sub_5A79,true,unannotated
0xB86A,0xE227,sub_E227,true,unannotated
0xB887,0x9EAF,sub_9EAF,true,unannotated
0xB88A,0xBDEC,sub_BDEC,true,unannotated
0xB88D,0x4AA7,sub_4AA7,true,unannotated
0xB890,0x4B63,sub_4B63,true,unannotated
0xB893,0xA6E5,sci_buffers_init,true,strong
0xB896,0xA696,sci_mode_init,true,strong
0xB8BB,0x4017,adc_sample_group_a,true,confirmed
0xB8D3,0x4034,adc_sample_group_b,true,confirmed
0xB8D6,0x40A8,sub_40A8,true,unannotated
0xB8DD,0x9E98,sub_9E98,true,unannotated
0xB8E0,0xEF71,sub_EF71,true,unannotated
0xB8E3,0x409C,sub_409C,true,unannotated
0xB8E6,0xD176,sub_D176,true,unannotated
0xB8E9,0x729D,sub_729D,true,unannotated
0xB8EC,0xB95F,sub_B95F,true,unannotated
0xB8EF,0xCAD7,sub_CAD7,true,unannotated
0xB8F2,0xBC12,sub_BC12,true,unannotated
0xB8F5,0xCB6E,sub_CB6E,true,unannotated
0xB8F8,0x4079,sub_4079,true,unannotated
0xB8FB,0xD6AC,runtime_variables_init,true,confirmed
0xB904,0x956B,period_history_init,true,confirmed
0xB907,0x4421,sub_4421,true,unannotated
0xB90A,0xE77E,sub_E77E,true,unannotated
0xB90D,0xCB43,sub_CB43,true,unannotated
0xB910,0x9B61,sub_9B61,true,unannotated
0xB913,0xA012,sub_A012,true,unannotated
0xB916,0xCBC4,sub_CBC4,true,unannotated
0xB919,0x5652,mode_control_init_5652,true,open
0xB91C,0x67A3,state_or_comms_init_67a3,true,open
0xB91F,0xBB98,ignition_output_init,true,strong
0xB922,0xB555,countdown_init_b555,true,strong
0xBA30,0x636C,sub_636C,true,unannotated
0xBA57,0xB2D6,interp_2d_u8,true,confirmed
0xBA64,0xB2AB,interp_1d_u8,true,confirmed
0xBA71,0xB2BA,interp_1d_s8,true,strong
0xBA7E,0xB2AB,interp_1d_u8,true,confirmed
0xBA8B,0xB2AB,interp_1d_u8,true,confirmed
0xBA98,0xB2AB,interp_1d_u8,true,confirmed
0xBAAE,0xB2AB,interp_1d_u8,true,confirmed
0xBADD,0xBB3F,sub_BB3F,true,unannotated
0xBAFA,0xBB3F,sub_BB3F,true,unannotated
0xBB17,0xBB3F,sub_BB3F,true,unannotated
0xBB34,0xBB3F,sub_BB3F,true,unannotated
0xBB3F,0xB3F6,sub_B3F6,true,unannotated
0xBD27,0xBD59,sub_BD59,true,unannotated
0xBD33,0xBD59,sub_BD59,true,unannotated
0xBDFD,0x9707,sub_9707,true,unannotated
0xBE90,0xB2D6,interp_2d_u8,true,confirmed
0xBE9D,0xB2AB,interp_1d_u8,true,confirmed
0xBF0F,0xBF62,sub_BF62,true,unannotated
0xBF35,0xBF62,sub_BF62,true,unannotated
0xC012,0x96E9,sub_96E9,true,unannotated
0xC037,0xB2AB,interp_1d_u8,true,confirmed
0xC121,0xB2AB,interp_1d_u8,true,confirmed
0xC12E,0xB2AB,interp_1d_u8,true,confirmed
0xC13B,0xB2AB,interp_1d_u8,true,confirmed
0xC224,0xB2AB,interp_1d_u8,true,confirmed
0xC27D,0xB3F6,sub_B3F6,true,unannotated
0xC289,0xB383,axis_lookup_u8,true,confirmed
0xC2A9,0xB2AB,interp_1d_u8,true,confirmed
0xC2BE,0xB2D6,interp_2d_u8,true,confirmed
0xC578,0xCB43,sub_CB43,true,unannotated
0xC5A5,0xCAC5,sub_CAC5,true,unannotated
0xC5B2,0xCAC5,sub_CAC5,true,unannotated
0xC5BF,0xCAC5,sub_CAC5,true,unannotated
0xC5CC,0xCAC5,sub_CAC5,true,unannotated
0xC5D9,0xCAC5,sub_CAC5,true,unannotated
0xC5E6,0xCAC5,sub_CAC5,true,unannotated
0xC5F3,0xCAC5,sub_CAC5,true,unannotated
0xC6E2,0xCAC5,sub_CAC5,true,unannotated
0xC6EE,0xCAC5,sub_CAC5,true,unannotated
0xC72B,0xCAC5,sub_CAC5,true,unannotated
0xC810,0x6312,sub_6312,true,unannotated
0xCAC0,0x9759,sub_9759,true,unannotated
0xCB20,0xCB5B,sub_CB5B,true,unannotated
0xCB4A,0xC94B,adaptive_cell_interpolation,true,confirmed
0xCB54,0xC94B,adaptive_cell_interpolation,true,confirmed
0xCBB9,0xD1A4,sub_D1A4,true,unannotated
0xCBBC,0xCC00,adaptive_trim_update_gate,true,strong
0xCBBF,0xCE3A,sub_CE3A,true,unannotated
0xCC38,0xB2AB,interp_1d_u8,true,confirmed
0xCCDF,0xCD3A,sub_CD3A,true,unannotated
0xCCEA,0xCD6D,sub_CD6D,true,unannotated
0xCD13,0xCD6D,sub_CD6D,true,unannotated
0xCD1B,0xCD3A,sub_CD3A,true,unannotated
0xCD27,0xCD6D,sub_CD6D,true,unannotated
0xCD30,0xCD6D,sub_CD6D,true,unannotated
0xCD35,0xCD3A,sub_CD3A,true,unannotated
0xCE11,0xB407,sub_B407,true,unannotated
0xCE98,0xD03C,sub_D03C,true,unannotated
0xCEC6,0xD03C,sub_D03C,true,unannotated
0xCECB,0xD04C,sub_D04C,true,unannotated
0xCF3C,0xD03C,sub_D03C,true,unannotated
0xCF6A,0xD03C,sub_D03C,true,unannotated
0xCF6F,0xD04C,sub_D04C,true,unannotated
0xCFD0,0xD00F,sub_D00F,true,unannotated
0xCFE0,0xD00F,sub_D00F,true,unannotated
0xCFF0,0xD00F,sub_D00F,true,unannotated
0xD000,0xD00F,sub_D00F,true,unannotated
0xD009,0x6252,sub_6252,true,unannotated
0xD0BD,0x6252,sub_6252,true,unannotated
0xD131,0xB2D6,interp_2d_u8,true,confirmed
0xD13D,0xB2D6,interp_2d_u8,true,confirmed
0xD149,0xB2D6,interp_2d_u8,true,confirmed
0xD15A,0xB2D6,interp_2d_u8,true,confirmed
0xD16E,0xB3F6,sub_B3F6,true,unannotated
0xD370,0xB476,runtime_stage_b476,true,open
0xD373,0xB48C,runtime_stage_b48c,true,open
0xD376,0xC910,runtime_stage_c910,true,open
0xD379,0x5828,runtime_input_processing_5828,true,open
0xD37C,0xB562,runtime_stage_b562,true,open
0xD37F,0x650D,runtime_state_650d,true,open
0xD3D9,0x42D0,sub_42D0,true,unannotated
0xD3DC,0x4C5B,sub_4C5B,true,unannotated
0xD3DF,0x4ECD,sub_4ECD,true,unannotated
0xD3E2,0x9D25,runtime_stage_9d25,true,open
0xD3E5,0x4214,sub_4214,true,unannotated
0xD40F,0x5AD6,incremental_rom_checksum,true,confirmed
0xD412,0x602F,runtime_stage_602f,true,open
0xD415,0x6107,runtime_stage_6107,true,open
0xD418,0x6133,runtime_stage_6133,true,open
0xD41B,0x615B,runtime_stage_615b,true,open
0xD41E,0x6187,runtime_stage_6187,true,open
0xD421,0x62DC,runtime_stage_62dc,true,open
0xD42B,0x6836,mode_handler_6836,true,open
0xD434,0x68F3,mode_handler_68f3,true,open
0xD444,0x6A12,mode_handler_6a12,true,open
0xD44D,0x6A12,mode_handler_6a12,true,open
0xD456,0x6D43,mode_handler_6d43,true,open
0xD45D,0xC000,closed_loop_adaptive_state_machine,true,confirmed
0xD46A,0x5F27,sub_5F27,true,unannotated
0xD47C,0xB3B9,period_axis_lookup,true,confirmed
0xD4A9,0x9D13,sub_9D13,true,unannotated
0xD4C2,0xB407,sub_B407,true,unannotated
0xD4D5,0xD703,sub_D703,true,unannotated
0xD4E5,0xD79B,sub_D79B,true,unannotated
0xD505,0x5B95,sub_5B95,true,unannotated
0xD508,0x5F71,sub_5F71,true,unannotated
0xD517,0x723E,sub_723E,true,unannotated
0xD590,0x5679,sub_5679,true,unannotated
0xD593,0x55F8,sub_55F8,true,unannotated
0xD596,0x4461,sub_4461,true,unannotated
0xD599,0xC000,closed_loop_adaptive_state_machine,true,confirmed
0xD5A3,0x605B,sub_605B,true,unannotated
0xD5AD,0x60B1,sub_60B1,true,unannotated
0xD5B0,0xCB9B,sub_CB9B,true,unannotated
0xD5B3,0xA3DE,sub_A3DE,true,unannotated
0xD5B6,0xEBB4,sub_EBB4,true,unannotated
0xD5B9,0x436A,preprocess_iat_path,true,strong
0xD5BC,0x431A,preprocess_cts_path,true,strong
0xD5BF,0x43BA,sub_43BA,true,unannotated
0xD5C2,0x5A29,sub_5A29,true,unannotated
0xD5C5,0xE7DD,sub_E7DD,true,unannotated
0xD5C8,0xD6F5,sub_D6F5,true,unannotated
0xD5DA,0x96DA,sub_96DA,true,unannotated
0xD5E6,0xB2AB,interp_1d_u8,true,confirmed
0xD5F6,0xB2AB,interp_1d_u8,true,confirmed
0xD607,0xB26E,interp_1d_word,true,confirmed
0xD60D,0xBA34,sub_BA34,true,unannotated
0xD610,0x5FDC,sub_5FDC,true,unannotated
0xD613,0xD105,sub_D105,true,unannotated
0xD616,0x9D51,sub_9D51,true,unannotated
0xD68F,0x6451,sub_6451,true,unannotated
0xD698,0x4E0B,sub_4E0B,true,unannotated
0xD6A1,0x4BCD,sub_4BCD,true,unannotated
0xD6A6,0x65D8,sub_65D8,true,unannotated
0xD6D3,0x436A,preprocess_iat_path,true,strong
0xD6D6,0x431A,preprocess_cts_path,true,strong
0xD6DF,0x43DC,sub_43DC,true,unannotated
0xD6E5,0x43F3,sub_43F3,true,unannotated
0xD6E8,0xD6F5,sub_D6F5,true,unannotated
0xD6FC,0xB2BA,interp_1d_s8,true,strong
0xD7AE,0xB407,sub_B407,true,unannotated
0xD80C,0xD829,sub_D829,true,unannotated
0xD822,0xD896,sub_D896,true,unannotated
0xD824,0xD941,sub_D941,true,unannotated
0xD86F,0xBDEC,sub_BDEC,true,unannotated
0xD872,0xDA5A,sub_DA5A,true,unannotated
0xD8FA,0xD90C,sub_D90C,true,unannotated
0xD900,0xD928,sub_D928,true,unannotated
0xDCE2,0xDD29,sub_DD29,true,unannotated
0xE096,0xDD2D,sub_DD2D,true,unannotated
0xE09F,0xDD37,sub_DD37,true,unannotated
0xE0A8,0xDCD9,sub_DCD9,true,unannotated
0xE0AF,0xDD37,sub_DD37,true,unannotated
0xE0B3,0xE0CC,sub_E0CC,true,unannotated
0xE0BA,0x94E2,sub_94E2,true,unannotated
0xE102,0xE0CC,sub_E0CC,true,unannotated
0xE289,0xE33F,sub_E33F,true,unannotated
0xE2A4,0xE365,sub_E365,true,unannotated
0xE2B3,0xE32F,sub_E32F,true,unannotated
0xE2E8,0xE365,sub_E365,true,unannotated
0xE2FE,0xE32F,sub_E32F,true,unannotated
0xE342,0xE326,sub_E326,true,unannotated
0xE36C,0xE326,sub_E326,true,unannotated
0xE396,0xB2BA,interp_1d_s8,true,strong
0xE3DE,0xB32B,interp_2d_s8,true,confirmed
0xE404,0xB2AB,interp_1d_u8,true,confirmed
0xE438,0xB26E,interp_1d_word,true,confirmed
0xE44B,0xB2AB,interp_1d_u8,true,confirmed
0xE458,0xB26E,interp_1d_word,true,confirmed
0xE46D,0xE6DA,sub_E6DA,true,unannotated
0xE497,0xE6DA,sub_E6DA,true,unannotated
0xE4A2,0xE6DA,sub_E6DA,true,unannotated
0xE506,0xB2AB,interp_1d_u8,true,confirmed
0xE513,0xB2AB,interp_1d_u8,true,confirmed
0xE520,0xB26E,interp_1d_word,true,confirmed
0xE535,0xE6DA,sub_E6DA,true,unannotated
0xE54B,0xE6DA,sub_E6DA,true,unannotated
0xE556,0xE6DA,sub_E6DA,true,unannotated
0xE62A,0xE715,apply_signed_fraction,true,confirmed
0xE634,0xE748,apply_adaptive_trim,true,confirmed
0xE642,0xE6DA,sub_E6DA,true,unannotated
0xE64D,0xE6DA,sub_E6DA,true,unannotated
0xE6AD,0xE6DA,sub_E6DA,true,unannotated
0xE6CB,0x96F3,sub_96F3,true,unannotated
0xE6D5,0x4405,sub_4405,true,unannotated
0xE7D4,0xB2AB,interp_1d_u8,true,confirmed
0xE7F7,0xB2AB,interp_1d_u8,true,confirmed
0xE804,0xB26E,interp_1d_word,true,confirmed
0xE811,0xB26E,interp_1d_word,true,confirmed
0xE81E,0xB2AB,interp_1d_u8,true,confirmed
0xE82B,0xB2AB,interp_1d_u8,true,confirmed
0xE838,0xB2AB,interp_1d_u8,true,confirmed
0xE845,0xB2AB,interp_1d_u8,true,confirmed
0xE866,0xB32B,interp_2d_s8,true,confirmed
0xE887,0xB32B,interp_2d_s8,true,confirmed
0xE8BA,0xB2AB,interp_1d_u8,true,confirmed
0xE9A0,0xB26E,interp_1d_word,true,confirmed
0xE9C4,0xB2AB,interp_1d_u8,true,confirmed
0xE9F6,0xB2AB,interp_1d_u8,true,confirmed
0xEA1D,0xB2AB,interp_1d_u8,true,confirmed
0xEA3A,0xB2AB,interp_1d_u8,true,confirmed
0xEAA4,0xEB16,sub_EB16,true,unannotated
0xEAFF,0xEB16,sub_EB16,true,unannotated
0xEB24,0xB2AB,interp_1d_u8,true,confirmed
0xEB43,0xE078,sub_E078,true,unannotated
0xEBD9,0xEF7D,sub_EF7D,true,unannotated
0xEBF4,0xEFFF,sub_EFFF,true,unannotated
0xEBFE,0xEFC0,sub_EFC0,true,unannotated
0xEC05,0xEFC0,sub_EFC0,true,unannotated
0xEC85,0xEFC8,sub_EFC8,true,unannotated
0xEC9D,0xEFC8,sub_EFC8,true,unannotated
0xECC0,0xEFC0,sub_EFC0,true,unannotated
0xECD3,0xEFB6,sub_EFB6,true,unannotated
0xED94,0xEFFF,sub_EFFF,true,unannotated
0xEDC7,0xEFC0,sub_EFC0,true,unannotated
0xEDE1,0xEFB6,sub_EFB6,true,unannotated
0xEDE4,0xEFD4,sub_EFD4,true,unannotated
0xEDEE,0xEFC0,sub_EFC0,true,unannotated
0xEE06,0xEFC8,sub_EFC8,true,unannotated
0xEE15,0xEFC0,sub_EFC0,true,unannotated
0xEE1B,0xEFC8,sub_EFC8,true,unannotated
0xEE58,0xEFC8,sub_EFC8,true,unannotated
0xEE6F,0xEFFF,sub_EFFF,true,unannotated
0xEE7B,0xEFC0,sub_EFC0,true,unannotated
0xEE9E,0xEFE0,sub_EFE0,true,unannotated
0xEEA9,0xEFE0,sub_EFE0,true,unannotated
0xEEB0,0xEFE0,sub_EFE0,true,unannotated
0xEFE0,0xEFC0,sub_EFC0,true,unannotated
0xEFEE,0xEFC0,sub_EFC0,true,unannotated
